at_pct,count,scaled_to_sample_ct
58.57,1976,638
55.71,2884,932
50.0,4589,1482
48.57,4427,1430
45.71,3168,1023
54.29,3401,1099
62.86,1041,336
52.86,3892,1257
51.43,4398,1421
44.29,2439,788
68.57,467,151
42.86,1794,580
61.43,1279,413
71.43,338,109
65.71,711,230
47.14,3999,1292
81.43,34,11
57.14,2278,736
41.43,1163,376
60.0,1615,522
72.86,268,87
40.0,651,210
75.71,163,53
64.29,868,280
70.0,409,132
67.14,547,177
38.57,323,104
37.14,182,59
77.14,117,38
80.0,47,15
78.57,81,26
74.29,250,81
35.71,84,27
30.0,3,1
34.29,40,13
85.71,3,1
31.43,9,3
84.29,14,5
32.86,25,8
87.14,3,1
82.86,18,6
28.57,1,0
88.57,1,0
