at_pct,count,scaled_to_sample_ct
58.57,1976,8721
55.71,2884,12728
50.0,4589,20253
48.57,4427,19538
45.71,3168,13981
54.29,3401,15010
62.86,1041,4594
52.86,3892,17177
51.43,4398,19410
44.29,2439,10764
68.57,467,2061
42.86,1794,7917
61.43,1279,5645
71.43,338,1492
65.71,711,3138
47.14,3999,17649
81.43,34,150
57.14,2278,10054
41.43,1163,5133
60.0,1615,7128
72.86,268,1183
40.0,651,2873
75.71,163,719
64.29,868,3831
70.0,409,1805
67.14,547,2414
38.57,323,1426
37.14,182,803
77.14,117,516
80.0,47,207
78.57,81,357
74.29,250,1103
35.71,84,371
30.0,3,13
34.29,40,177
85.71,3,13
31.43,9,40
84.29,14,62
32.86,25,110
87.14,3,13
82.86,18,79
28.57,1,4
88.57,1,4
