position,reads,tRL,tLR,fwd strand,rev strand,Normalized Reads,Normalized Fwd Reads,Normalized Rev Reads
13,12,0.0,0.0,12.0,0.0,13.2,13.2,0.0
14,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
23,14,0.0,0.0,0.0,14.0,15.4,0.0,15.4
24,8,0.0,0.0,1.0,7.0,8.8,1.1,7.7
26,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
27,6,0.0,0.0,0.0,6.0,6.6,0.0,6.6
28,8,0.0,0.0,0.0,8.0,8.8,0.0,8.8
32,26,0.0,0.0,4.0,22.0,28.6,4.4,24.2
33,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
35,173,0.0,0.0,1.0,172.0,190.31,1.1,189.21
37,8,0.0,0.0,0.0,8.0,8.8,0.0,8.8
38,19,0.0,0.0,0.0,19.0,20.9,0.0,20.9
41,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
42,16,0.0,0.0,0.0,16.0,17.6,0.0,17.6
44,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
46,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
52,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
62,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
69,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
74,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
78,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
83,13,0.0,0.0,13.0,0.0,14.3,14.3,0.0
87,9,0.0,0.0,0.0,9.0,9.9,0.0,9.9
95,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
96,5,0.0,0.0,0.0,5.0,5.5,0.0,5.5
101,5,0.0,0.0,0.0,5.0,5.5,0.0,5.5
125,6,0.0,0.0,6.0,0.0,6.6,6.6,0.0
129,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
132,9,0.0,0.0,9.0,0.0,9.9,9.9,0.0
139,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
159,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
162,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
165,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
170,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
180,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
191,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
239,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
264,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
