pos,AT%,score,A3993,A3996
3764100_3764200,65.0,42458256,4453,2063
397500_397600,67.0,11323225,2438,927
334900_335000,44.0,7845601,2499,302
2665800_2665900,61.0,5248681,1690,601
4115600_4115700,54.0,3810304,826,1126
1267700_1267800,67.0,2765569,686,977
4385700_4385800,58.0,2262016,722,782
3795300_3795400,55.0,2208196,1098,388
397400_397500,52.0,2088025,51,1394
3894300_3894400,70.0,2073600,639,801
1020600_1020700,65.0,2044900,1141,289
301500_301600,64.0,2005056,1132,284
2773600_2773700,72.0,1677025,740,555
667900_668000,73.0,1623076,400,874
38200_38300,65.0,1602756,16,1250
3840300_3840400,54.0,1590121,1243,18
3246500_3246600,78.0,1560001,710,539
24100_24200,71.0,1505529,1051,176
1164100_1164200,61.0,1340964,621,537
2887700_2887800,50.0,1334025,1004,151
1233600_1233700,58.0,1236544,951,161
233800_233900,68.0,1166400,624,456
3967000_3967100,54.0,1153476,418,656
2900700_2900800,59.0,1132096,808,256
4317000_4317100,58.0,1100401,977,72
4257200_4257300,49.0,1092025,941,104
4334600_4334700,68.0,1056784,1017,11
3085200_3085300,56.0,1004004,208,794
4263400_4263500,55.0,1000000,292,708
3503100_3503200,70.0,984064,576,416
3460200_3460300,65.0,980100,662,328
3133700_3133800,73.0,942841,901,70
2943000_2943100,59.0,923521,271,690
4283500_4283600,50.0,902500,607,343
3811600_3811700,73.0,893025,644,301
3895100_3895200,62.0,868624,809,123
3510700_3510800,53.0,846400,654,266
3510500_3510600,52.0,831744,592,320
3525100_3525200,59.0,792100,317,573
134100_134200,55.0,781456,393,491
351000_351100,60.0,772641,693,186
3752300_3752400,54.0,739600,260,600
3503600_3503700,48.0,724201,849,2
946000_946100,64.0,719104,847,1
3831600_3831700,59.0,707281,330,511
3250500_3250600,55.0,702244,339,499
2861900_2862000,65.0,700569,541,296
2954400_2954500,67.0,692224,478,354
3744000_3744100,61.0,680625,792,33
4139100_4139200,71.0,680625,433,392
4268200_4268300,60.0,677329,819,4
4442800_4442900,62.0,667489,493,324
53800_53900,58.0,667489,451,366
1389800_1389900,64.0,662596,682,132
3830000_3830100,49.0,662596,345,469
1244100_1244200,58.0,635209,746,51
2820300_2820400,45.0,625681,696,95
3895700_3895800,68.0,622521,606,183
159200_159300,54.0,617796,784,2
3777400_3777500,70.0,600625,432,343
2492700_2492800,61.0,592900,201,569
2627600_2627700,52.0,571536,642,114
1321200_1321300,64.0,570025,567,188
872200_872300,67.0,568516,193,561
3169800_3169900,63.0,528529,75,652
3763900_3764000,47.0,518400,405,315
3849800_3849900,44.0,511225,323,392
4115700_4115800,57.0,506944,513,199
450000_450100,59.0,497025,16,689
92000_92100,59.0,495616,71,633
1892500_1892600,59.0,494209,279,424
3348700_3348800,43.0,487204,693,5
2930200_2930300,60.0,483025,410,285
19700_19800,60.0,467856,677,7
24500_24600,75.0,466489,76,607
1641400_1641500,60.0,463761,301,380
2173200_2173300,53.0,462400,296,384
3187100_3187200,67.0,448900,659,11
4404700_4404800,52.0,444889,364,303
3327300_3327400,77.0,429025,635,20
2953900_2954000,75.0,418609,646,1
2760300_2760400,56.0,417316,354,292
4267900_4268000,60.0,417316,278,368
3949100_3949200,56.0,404496,111,525
667800_667900,49.0,404496,598,38
3685500_3685600,63.0,398161,601,30
621800_621900,73.0,393129,500,127
3510800_3510900,61.0,390625,122,503
595800_595900,55.0,374544,585,27
4413900_4414000,66.0,373321,36,575
3368100_3368200,55.0,368449,392,215
946400_946500,36.0,358801,265,334
3299600_3299700,61.0,350464,295,297
1892100_1892200,78.0,345744,191,397
57100_57200,43.0,344569,99,488
2837900_2838000,49.0,338724,581,1
241200_241300,67.0,328329,559,14
427800_427900,57.0,324900,341,229
1090300_1090400,49.0,321489,498,69
2650600_2650700,52.0,320356,291,275
396500_396600,56.0,314721,37,524
1658200_1658300,49.0,311364,135,423
2989000_2989100,52.0,311364,303,255
3299100_3299200,66.0,310249,178,379
3665200_3665300,67.0,309136,481,75
4416800_4416900,66.0,308025,330,225
3973900_3974000,50.0,306916,481,73
4175800_4175900,65.0,305809,333,220
4065500_4065600,50.0,304704,280,272
3005600_3005700,43.0,302500,433,117
3036100_3036200,61.0,300304,506,42
242100_242200,67.0,299209,17,530
3425700_3425800,53.0,292681,192,349
3135400_3135500,70.0,289444,485,53
4522300_4522400,49.0,289444,484,54
3829600_3829700,52.0,288369,187,350
3124500_3124600,68.0,286225,483,52
3144200_3144300,54.0,285156,531,3
2066900_2067000,53.0,279841,365,164
3755400_3755500,54.0,279841,220,309
3665600_3665700,70.0,278784,379,149
4097800_4097900,63.0,278784,218,310
4345300_4345400,48.0,271441,107,414
713300_713400,66.0,269361,312,207
4268300_4268400,59.0,267289,487,30
357500_357600,63.0,265225,499,16
2410700_2410800,59.0,264196,383,131
3741800_3741900,45.0,260100,242,268
594500_594600,47.0,260100,504,6
3281600_3281700,53.0,259081,506,3
3800100_3800200,51.0,259081,322,187
3894100_3894200,73.0,253009,492,11
2219100_2219200,41.0,252004,1,501
3059200_3059300,57.0,246016,31,465
3937700_3937800,42.0,241081,476,15
3015200_3015300,55.0,238144,463,25
240100_240200,82.0,236196,29,457
3004100_3004200,65.0,236196,485,1
3100500_3100600,55.0,232324,97,385
1660200_1660300,49.0,231361,469,12
992400_992500,73.0,230400,37,443
1714700_1714800,61.0,228484,472,6
876600_876700,52.0,225625,451,24
2899700_2899800,69.0,221841,166,305
3143200_3143300,55.0,220900,132,338
3111100_3111200,57.0,207936,409,47
921200_921300,57.0,205209,328,125
1121700_1121800,77.0,203401,156,295
2737200_2737300,64.0,202500,247,203
410000_410100,57.0,197136,320,124
3235900_3236000,71.0,195364,288,154
2737300_2737400,66.0,191844,373,65
3917800_3917900,59.0,190096,240,196
4256000_4256100,57.0,188356,66,368
2607900_2608000,59.0,186624,251,181
3646500_3646600,65.0,181476,230,196
4421700_4421800,45.0,179776,338,86
114100_114200,40.0,178929,9,414
4316700_4316800,61.0,174724,68,350
4371200_4371300,56.0,173889,224,193
1049200_1049300,50.0,171396,413,1
2583800_2583900,46.0,163216,287,117
1973100_1973200,48.0,161604,308,94
3819000_3819100,52.0,160801,2,399
3820100_3820200,59.0,160000,395,5
3570300_3570400,61.0,157609,372,25
139800_139900,55.0,153664,339,53
1523800_1523900,51.0,151321,277,112
768600_768700,63.0,149769,386,1
2087900_2088000,56.0,147456,202,182
3570200_3570300,69.0,147456,28,356
831800_831900,51.0,146689,326,57
2954100_2954200,71.0,145161,317,64
3894400_3894500,64.0,142129,133,244
1708900_1709000,58.0,139129,372,1
2217700_2217800,62.0,139129,295,78
992500_992600,66.0,139129,345,28
1852200_1852300,55.0,136161,323,46
33500_33600,65.0,135424,366,2
3501900_3502000,49.0,135424,365,3
3058000_3058100,56.0,134689,366,1
314900_315000,54.0,134689,60,307
3746900_3747000,44.0,134689,328,39
3050000_3050100,50.0,133956,239,127
2774600_2774700,49.0,133225,357,8
267800_267900,47.0,132496,350,14
1788700_1788800,59.0,131769,6,357
4046400_4046500,53.0,128881,205,154
3894200_3894300,64.0,122500,344,6
4251000_4251100,54.0,122500,154,196
3747200_3747300,46.0,120409,296,51
377100_377200,52.0,120409,213,134
3299400_3299500,54.0,117649,3,340
2400000_2400100,51.0,116281,6,335
2519700_2519800,51.0,115600,307,33
3694100_3694200,52.0,114244,336,2
930400_930500,59.0,112225,289,46
3703200_3703300,43.0,111556,1,333
1797200_1797300,41.0,110224,1,331
825500_825600,60.0,110224,165,167
3811300_3811400,56.0,107584,42,286
3246400_3246500,50.0,105625,62,263
3273300_3273400,53.0,101761,105,214
4267100_4267200,55.0,101761,267,52
4110700_4110800,48.0,100489,315,2
3786200_3786300,49.0,97969,85,228
4391400_4391500,67.0,97969,254,59
2873200_2873300,53.0,97344,2,310
3796500_3796600,45.0,96721,37,274
622100_622200,61.0,96721,5,306
2173300_2173400,70.0,88209,277,20
2141900_2142000,63.0,85264,191,101
2754700_2754800,49.0,85264,3,289
3975400_3975500,58.0,82369,7,280
2591200_2591300,50.0,81796,101,185
3327400_3327500,53.0,81796,285,1
4419400_4419500,49.0,81225,2,283
2773700_2773800,67.0,79524,160,122
3280100_3280200,57.0,79524,2,280
668100_668200,62.0,77841,10,269
4148700_4148800,45.0,75076,273,1
4361300_4361400,56.0,75076,253,21
724200_724300,49.0,75076,243,31
3250400_3250500,50.0,74529,238,35
2881600_2881700,48.0,73984,9,263
2048600_2048700,50.0,72900,2,268
3953600_3953700,63.0,68644,261,1
40200_40300,58.0,68121,224,37
3622600_3622700,49.0,67081,258,1
17200_17300,70.0,62500,37,213
4045500_4045600,42.0,62500,11,239
1789700_1789800,50.0,62001,4,245
2820800_2820900,52.0,61504,111,137
312200_312300,63.0,61504,17,231
1824000_1824100,54.0,61009,19,228
1241700_1241800,48.0,60025,135,110
1299500_1299600,73.0,58081,86,155
2672500_2672600,53.0,57121,3,236
2700200_2700300,58.0,55696,2,234
2909300_2909400,52.0,54756,55,179
3570000_3570100,53.0,53361,8,223
3825200_3825300,54.0,53361,1,230
791400_791500,62.0,51984,11,217
876800_876900,55.0,51984,46,182
3704200_3704300,58.0,51076,225,1
3025300_3025400,49.0,50176,182,42
3159200_3159300,51.0,49284,166,56
3823900_3824000,57.0,48841,204,17
1531400_1531500,53.0,47524,67,151
3804000_3804100,53.0,46656,1,215
3598200_3598300,56.0,46225,157,58
3916200_3916300,43.0,45369,118,95
3970200_3970300,54.0,44100,39,171
3804200_3804300,62.0,43681,5,204
1941200_1941300,58.0,42849,179,28
3290100_3290200,53.0,42849,193,14
5100_5200,58.0,42436,205,1
3216700_3216800,52.0,40804,201,1
3760600_3760700,52.0,40804,200,2
744300_744400,49.0,39601,13,186
4264700_4264800,50.0,39204,38,160
2007800_2007900,73.0,37636,180,14
3110100_3110200,44.0,37636,193,1
1962100_1962200,63.0,36864,17,175
3372800_3372900,62.0,34225,178,7
4408500_4408600,49.0,33856,34,150
3483300_3483400,38.0,33489,13,170
3536000_3536100,58.0,31684,3,175
970600_970700,56.0,30976,42,134
3281500_3281600,50.0,29929,128,45
2296300_2296400,50.0,29584,62,110
4280900_4281000,59.0,28224,2,166
4433400_4433500,68.0,27889,151,16
